order_id,customer_id_hash,country_code,order_created_at,cancelled_flag,late_delivery_flag,delivery_delay_minutes,updated_at
ord_0000001,cust_454f63ac30c8,DE,2026-01-05,0,0,0,2026-01-05T05:47:00
ord_0000002,cust_0fd42b3f73c4,DE,2026-01-05,0,0,0,2026-01-05T23:34:00
ord_0000003,cust_5b64147d2864,DE,2026-01-05,0,0,0,2026-01-05T11:06:00
ord_0000004,cust_1e61da9318ad,DE,2026-01-05,0,1,65,2026-01-05T12:36:00
ord_0000005,cust_bdc5d8a48c23,DE,2026-01-05,0,0,0,2026-01-05T02:14:00
ord_0000006,cust_062f50753b90,DE,2026-01-05,0,0,0,2026-01-05T21:29:00
ord_0000007,cust_485d997d70d9,DE,2026-01-05,0,0,0,2026-01-05T17:31:00
ord_0000008,cust_2163909115c0,DE,2026-01-05,0,0,0,2026-01-05T09:35:00
ord_0000009,cust_155d1cf609ce,DE,2026-01-05,0,0,0,2026-01-05T21:32:00
ord_0000010,cust_3949ac1596ec,DE,2026-01-05,0,0,0,2026-01-05T03:48:00
ord_0000011,cust_d2e655334ee2,DE,2026-01-05,0,0,0,2026-01-05T23:12:00
ord_0000012,cust_4be84111a613,DE,2026-01-05,0,0,0,2026-01-05T08:37:00
ord_0000013,cust_0aa598c735f7,DE,2026-01-05,0,0,0,2026-01-05T18:08:00
ord_0000014,cust_e50b6b02d6d9,DE,2026-01-05,0,0,0,2026-01-05T02:43:00
ord_0000015,cust_2bbb0ed9e593,DE,2026-01-05,0,0,0,2026-01-05T09:29:00
ord_0000016,cust_d029fa3a95e1,DE,2026-01-05,0,0,0,2026-01-05T08:10:00
ord_0000017,cust_2b36364b92fd,DE,2026-01-05,0,0,0,2026-01-05T18:03:00
ord_0000018,cust_0791963ca266,DE,2026-01-05,0,0,0,2026-01-05T03:43:00
ord_0000019,cust_8c9089be2f18,DE,2026-01-05,0,0,0,2026-01-05T22:45:00
ord_0000020,cust_0b918943df09,DE,2026-01-05,0,0,0,2026-01-05T04:04:00
ord_0000021,cust_cf1881df6f16,DE,2026-01-05,0,0,0,2026-01-05T20:51:00
ord_0000022,cust_6cc6eefb6742,DE,2026-01-05,0,1,25,2026-01-05T09:10:00
ord_0000023,cust_3f9807cb9ae9,DE,2026-01-05,0,0,0,2026-01-05T08:42:00
ord_0000024,cust_c7e616822f36,DE,2026-01-05,0,0,0,2026-01-05T14:01:00
ord_0000025,cust_5f128c8385e5,DE,2026-01-05,0,0,0,2026-01-05T02:54:00
ord_0000026,cust_74332c78b10e,DE,2026-01-05,0,0,0,2026-01-05T03:49:00
ord_0000027,cust_d0f451801443,DE,2026-01-05,0,0,0,2026-01-05T09:02:00
ord_0000028,cust_87a4a78ecb6d,DE,2026-01-05,0,0,0,2026-01-05T01:33:00
ord_0000029,cust_04ad22d76303,DE,2026-01-05,0,0,0,2026-01-05T04:46:00
ord_0000030,cust_8012472a35fd,DE,2026-01-05,0,0,0,2026-01-05T20:36:00
ord_0000031,cust_48b361d46638,DE,2026-01-05,0,0,0,2026-01-05T22:19:00
ord_0000032,cust_2fe98face818,DE,2026-01-05,0,0,0,2026-01-05T23:44:00
ord_0000033,cust_e85cdd30a33c,DE,2026-01-05,0,0,0,2026-01-05T23:33:00
ord_0000034,cust_a037a7dfaf26,DE,2026-01-05,0,0,0,2026-01-05T20:52:00
ord_0000035,cust_ae4def1ecaae,DE,2026-01-05,0,0,0,2026-01-05T09:49:00
ord_0000036,cust_0bba869d7f39,DE,2026-01-05,0,0,0,2026-01-05T23:09:00
ord_0000037,cust_5316ca1c5ddc,DE,2026-01-05,0,0,0,2026-01-11T13:30:00
ord_0000038,cust_533eb9a8909f,DE,2026-01-05,0,0,0,2026-01-05T16:01:00
ord_0000039,cust_24fae883d5ce,DE,2026-01-05,0,1,60,2026-01-05T01:05:00
ord_0000040,cust_b50d427a71ef,DE,2026-01-05,0,0,0,2026-01-05T21:02:00
ord_0000041,cust_64d94c866dff,DE,2026-01-05,0,0,0,2026-01-05T12:10:00
ord_0000042,cust_fa9b1cc5d156,DE,2026-01-05,0,0,0,2026-01-05T13:25:00
ord_0000043,cust_35bbce4007c5,DE,2026-01-05,0,0,0,2026-01-05T02:22:00
ord_0000044,cust_475368189e17,DE,2026-01-05,0,0,0,2026-01-05T15:45:00
ord_0000045,cust_56a3a46a3ba4,DE,2026-01-05,0,0,0,2026-01-05T09:20:00
ord_0000046,cust_8012472a35fd,DE,2026-01-05,0,0,0,2026-01-05T11:11:00
ord_0000047,cust_23147de99973,DE,2026-01-05,0,0,0,2026-01-05T14:31:00
ord_0000048,cust_14c54242e818,DE,2026-01-05,0,0,0,2026-01-05T19:23:00
